DepDate,holiday,long_weekend,day_of_week
7/1/2016,0,0,6
7/2/2016,0,0,7
7/3/2016,0,1,1
7/4/2016,1,0,2
7/5/2016,0,0,3
7/6/2016,0,0,4
7/7/2016,0,0,5
7/8/2016,0,0,6
7/9/2016,0,0,7
7/10/2016,0,0,1
7/11/2016,0,0,2
7/12/2016,0,0,3
7/13/2016,0,0,4
7/14/2016,0,0,5
7/15/2016,0,0,6
7/16/2016,0,0,7
7/17/2016,0,0,1
7/18/2016,0,0,2
7/19/2016,0,0,3
7/20/2016,0,0,4
7/21/2016,0,0,5
7/22/2016,0,0,6
7/23/2016,0,0,7
7/24/2016,0,0,1
7/25/2016,0,0,2
7/26/2016,0,0,3
7/27/2016,0,0,4
7/28/2016,0,0,5
7/29/2016,0,0,6
7/30/2016,0,0,7
7/31/2016,0,0,1
8/1/2016,0,0,2
8/2/2016,0,0,3
8/3/2016,0,0,4
8/4/2016,0,0,5
8/5/2016,0,0,6
8/6/2016,0,0,7
8/7/2016,0,0,1
8/8/2016,0,0,2
8/9/2016,0,0,3
8/10/2016,0,0,4
8/11/2016,0,0,5
8/12/2016,0,0,6
8/13/2016,0,0,7
8/14/2016,0,0,1
8/15/2016,0,0,2
8/16/2016,0,0,3
8/17/2016,0,0,4
8/18/2016,0,0,5
8/19/2016,0,0,6
8/20/2016,0,0,7
8/21/2016,0,0,1
8/22/2016,0,0,2
8/23/2016,0,0,3
8/24/2016,0,0,4
8/25/2016,0,0,5
8/26/2016,0,0,6
8/27/2016,0,0,7
8/28/2016,0,0,1
8/29/2016,0,0,2
8/30/2016,0,0,3
8/31/2016,0,0,4
9/1/2016,0,0,5
9/2/2016,0,0,6
9/3/2016,0,0,7
9/4/2016,0,1,1
9/5/2016,1,0,2
9/6/2016,0,0,3
9/7/2016,0,0,4
9/8/2016,0,0,5
9/9/2016,0,0,6
9/10/2016,0,0,7
9/11/2016,0,0,1
9/12/2016,0,0,2
9/13/2016,0,0,3
9/14/2016,0,0,4
9/15/2016,0,0,5
9/16/2016,0,0,6
9/17/2016,0,0,7
9/18/2016,0,0,1
9/19/2016,0,0,2
9/20/2016,0,0,3
9/21/2016,0,0,4
9/22/2016,0,0,5
9/23/2016,0,0,6
9/24/2016,0,0,7
9/25/2016,0,0,1
9/26/2016,0,0,2
9/27/2016,0,0,3
9/28/2016,0,0,4
9/29/2016,0,0,5
9/30/2016,0,0,6
