DepDate,count,holiday,long_weekend,day_of_week
4/1/2015,4772,0,0,4
4/2/2015,5266,0,0,5
4/3/2015,4159,0,0,6
4/4/2015,2577,0,0,7
4/5/2015,3190,0,0,1
4/6/2015,5176,0,0,2
4/7/2015,5062,0,0,3
4/8/2015,5140,0,0,4
4/9/2015,5176,0,0,5
4/10/2015,5188,0,0,6
4/11/2015,3208,0,0,7
4/12/2015,4601,0,0,1
4/13/2015,4732,0,0,2
4/14/2015,4516,0,0,3
4/15/2015,4949,0,0,4
4/16/2015,5311,0,0,5
4/17/2015,4829,0,0,6
4/18/2015,2540,0,0,7
4/19/2015,3873,0,0,1
4/20/2015,4596,0,0,2
4/21/2015,5077,0,0,3
4/22/2015,5163,0,0,4
4/23/2015,5568,0,0,5
4/24/2015,4954,0,0,6
4/25/2015,2600,0,0,7
4/26/2015,4060,0,0,1
4/27/2015,4275,0,0,2
4/28/2015,4578,0,0,3
4/29/2015,5085,0,0,4
4/30/2015,6035,0,0,5
5/1/2015,5260,0,0,6
5/2/2015,2821,0,0,7
5/3/2015,4512,0,0,1
5/4/2015,4747,0,0,2
5/5/2015,4761,0,0,3
5/6/2015,5220,0,0,4
5/7/2015,5578,0,0,5
5/8/2015,4958,0,0,6
5/9/2015,2701,0,0,7
5/10/2015,3131,0,0,1
5/11/2015,4745,0,0,2
5/12/2015,4750,0,0,3
5/13/2015,5227,0,0,4
5/14/2015,5696,0,0,5
5/15/2015,5044,0,0,6
5/16/2015,2951,0,0,7
5/17/2015,4281,0,0,1
5/18/2015,4815,0,0,2
5/19/2015,5041,0,0,3
5/20/2015,5573,0,0,4
5/21/2015,5693,0,0,5
5/22/2015,5434,0,0,6
5/23/2015,2437,0,0,7
5/24/2015,2071,0,1,1
5/25/2015,3587,1,0,2
5/26/2015,4745,0,0,3
5/27/2015,4870,0,0,4
5/28/2015,5131,0,0,5
5/29/2015,4572,0,0,6
5/30/2015,2434,0,0,7
5/31/2015,3408,0,0,1
6/1/2015,4381,0,0,2
6/2/2015,4597,0,0,3
6/3/2015,5025,0,0,4
6/4/2015,5189,0,0,5
6/5/2015,4598,0,0,6
6/6/2015,2522,0,0,7
6/7/2015,3806,0,0,1
6/8/2015,4414,0,0,2
6/9/2015,4978,0,0,3
6/10/2015,4973,0,0,4
6/11/2015,5474,0,0,5
6/12/2015,4829,0,0,6
6/13/2015,2658,0,0,7
6/14/2015,3800,0,0,1
6/15/2015,4497,0,0,2
6/16/2015,4516,0,0,3
6/17/2015,5089,0,0,4
6/18/2015,5343,0,0,5
6/19/2015,4670,0,0,6
6/20/2015,2619,0,0,7
6/21/2015,3608,0,0,1
6/22/2015,4916,0,0,2
6/23/2015,4660,0,0,3
6/24/2015,5304,0,0,4
6/25/2015,5530,0,0,5
6/26/2015,4972,0,0,6
6/27/2015,2981,0,0,7
6/28/2015,3958,0,0,1
6/29/2015,4251,0,0,2
6/30/2015,4507,0,0,3
7/1/2015,5156,0,0,4
7/2/2015,5007,0,0,5
7/3/2015,2926,1,0,6
7/4/2015,1296,0,1,7
7/5/2015,4029,0,0,1
7/6/2015,4685,0,0,2
7/7/2015,4513,0,0,3
7/8/2015,4673,0,0,4
7/9/2015,4913,0,0,5
7/10/2015,4482,0,0,6
7/11/2015,3049,0,0,7
7/12/2015,4313,0,0,1
7/13/2015,4652,0,0,2
7/14/2015,4560,0,0,3
7/15/2015,5445,0,0,4
7/16/2015,5568,0,0,5
7/17/2015,4762,0,0,6
7/18/2015,2797,0,0,7
7/19/2015,4248,0,0,1
7/20/2015,4526,0,0,2
7/21/2015,4632,0,0,3
7/22/2015,5131,0,0,4
7/23/2015,5452,0,0,5
7/24/2015,4971,0,0,6
7/25/2015,2968,0,0,7
7/26/2015,4129,0,0,1
7/27/2015,4716,0,0,2
7/28/2015,4774,0,0,3
7/29/2015,5236,0,0,4
7/30/2015,5368,0,0,5
7/31/2015,5163,0,0,6
8/1/2015,3250,0,0,7
8/2/2015,3977,0,0,1
8/3/2015,4557,0,0,2
8/4/2015,4559,0,0,3
8/5/2015,4979,0,0,4
8/6/2015,5166,0,0,5
8/7/2015,4760,0,0,6
8/8/2015,2941,0,0,7
8/9/2015,4340,0,0,1
8/10/2015,4666,0,0,2
8/11/2015,4631,0,0,3
8/12/2015,5061,0,0,4
8/13/2015,5359,0,0,5
8/14/2015,4752,0,0,6
8/15/2015,2937,0,0,7
8/16/2015,4236,0,0,1
8/17/2015,4864,0,0,2
8/18/2015,4689,0,0,3
8/19/2015,5303,0,0,4
8/20/2015,5274,0,0,5
8/21/2015,4873,0,0,6
8/22/2015,2711,0,0,7
8/23/2015,4040,0,0,1
8/24/2015,4556,0,0,2
8/25/2015,4597,0,0,3
8/26/2015,4990,0,0,4
8/27/2015,5082,0,0,5
8/28/2015,4352,0,0,6
8/29/2015,2518,0,0,7
8/30/2015,3398,0,0,1
8/31/2015,3937,0,0,2
9/1/2015,4213,0,0,3
9/2/2015,4864,0,0,4
9/3/2015,5267,0,0,5
9/4/2015,5274,0,0,6
9/5/2015,2383,0,0,7
9/6/2015,2564,0,1,1
9/7/2015,4451,1,0,2
9/8/2015,5138,0,0,3
9/9/2015,5145,0,0,4
9/10/2015,5429,0,0,5
9/11/2015,5277,0,0,6
9/12/2015,2842,0,0,7
9/13/2015,4290,0,0,1
9/14/2015,4585,0,0,2
9/15/2015,5055,0,0,3
9/16/2015,5308,0,0,4
9/17/2015,5900,0,0,5
9/18/2015,5553,0,0,6
9/19/2015,2859,0,0,7
9/20/2015,4543,0,0,1
9/21/2015,4723,0,0,2
9/22/2015,4726,0,0,3
9/23/2015,4876,0,0,4
9/24/2015,5584,0,0,5
9/25/2015,5245,0,0,6
9/26/2015,2816,0,0,7
9/27/2015,4599,0,0,1
9/28/2015,4652,0,0,2
9/29/2015,4854,0,0,3
9/30/2015,5174,0,0,4
10/1/2015,5629,0,0,5
10/2/2015,4954,0,0,6
10/3/2015,2765,0,0,7
10/4/2015,4075,0,0,1
10/5/2015,4452,0,0,2
10/6/2015,4742,0,0,3
10/7/2015,5106,0,0,4
10/8/2015,5805,0,0,5
10/9/2015,5521,0,0,6
10/10/2015,3220,0,0,7
10/11/2015,4507,0,1,1
10/12/2015,5074,1,0,2
10/13/2015,4916,0,0,3
10/14/2015,5757,0,0,4
10/15/2015,6011,0,0,5
10/16/2015,5500,0,0,6
10/17/2015,2929,0,0,7
10/18/2015,4916,0,0,1
10/19/2015,4681,0,0,2
10/20/2015,4860,0,0,3
10/21/2015,5358,0,0,4
10/22/2015,5623,0,0,5
10/23/2015,5183,0,0,6
10/24/2015,2717,0,0,7
10/25/2015,4476,0,0,1
10/26/2015,4584,0,0,2
10/27/2015,4750,0,0,3
10/28/2015,5097,0,0,4
10/29/2015,5829,0,0,5
10/30/2015,4853,0,0,6
10/31/2015,2514,0,0,7
11/1/2015,3742,0,0,1
11/2/2015,4460,0,0,2
11/3/2015,4737,0,0,3
11/4/2015,5210,0,0,4
11/5/2015,5732,0,0,5
11/6/2015,5461,0,0,6
11/7/2015,2957,0,0,7
11/8/2015,4653,0,0,1
11/9/2015,4704,0,0,2
11/10/2015,4882,0,0,3
11/11/2015,5064,1,0,4
11/12/2015,5653,0,0,5
11/13/2015,5270,0,0,6
11/14/2015,2866,0,0,7
11/15/2015,4222,0,0,1
11/16/2015,4872,0,0,2
11/17/2015,4931,0,0,3
11/18/2015,5078,0,0,4
11/19/2015,5708,0,0,5
11/20/2015,5960,0,0,6
11/21/2015,3397,0,0,7
11/22/2015,3869,0,0,1
11/23/2015,4239,0,0,2
11/24/2015,5434,0,0,3
11/25/2015,4986,0,0,4
11/26/2015,1406,1,0,5
11/27/2015,2380,0,1,6
11/28/2015,3414,0,0,7
11/29/2015,6020,0,0,1
11/30/2015,5195,0,0,2
12/1/2015,4786,0,0,3
12/2/2015,5208,0,0,4
12/3/2015,5579,0,0,5
12/4/2015,5123,0,0,6
12/5/2015,2952,0,0,7
12/6/2015,4016,0,0,1
12/7/2015,4689,0,0,2
12/8/2015,5005,0,0,3
12/9/2015,5484,0,0,4
